File Name,Total Time (secs),Slowest Time (secs),Fastest Time (secs),Average Time (secs),Requests/sec,Total Data (bytes),Size/Request (bytes),10% Latency (secs),25% Latency (secs),50% Latency (secs),75% Latency (secs),90% Latency (secs),95% Latency (secs),99% Latency (secs),Status 200 Responses
pod100,5.1000,0.1791,0.0015,0.0224,4457.8194,295555,13,0.0050,0.0063,0.0089,0.0180,0.0701,0.0760,0.0931,22735
pod100,5.0717,0.2855,0.0021,0.0227,4392.6394,289614,13,0.0050,0.0064,0.0088,0.0165,0.0699,0.0743,0.0978,22278
pod100,5.0425,0.2073,0.0023,0.0299,3324.9526,217958,13,0.0062,0.0079,0.0110,0.0698,0.0777,0.0836,0.1028,16766
pod100,5.0759,0.1870,0.0030,0.0345,2872.6116,189553,13,0.0071,0.0092,0.0144,0.0715,0.0823,0.0894,0.1025,14581
pod10,5.0698,0.1089,0.0013,0.0162,6173.3884,406874,13,0.0031,0.0049,0.0071,0.0114,0.0615,0.0653,0.0748,31298
pod10,5.0455,0.1148,0.0016,0.0178,5596.3020,367068,13,0.0034,0.0052,0.0080,0.0135,0.0628,0.0676,0.0767,28236
pod10,5.0468,0.1571,0.0013,0.0199,5022.1988,329498,13,0.0037,0.0059,0.0090,0.0161,0.0648,0.0699,0.0825,25346
pod1,5.0448,0.1584,0.0009,0.0321,3112.1203,204100,13,0.0025,0.0296,0.0309,0.0334,0.0490,0.0611,0.0862,15700
pod1,5.0435,0.1521,0.0009,0.0323,3093.4781,202826,13,0.0017,0.0298,0.0312,0.0335,0.0584,0.0626,0.0883,15602
pod1,5.0433,0.2472,0.0009,0.0352,2839.6346,186173,13,0.0253,0.0310,0.0329,0.0355,0.0600,0.0674,0.1142,14321
pod3,5.0625,0.1038,0.0010,0.0199,5029.1603,330980,13,0.0020,0.0117,0.0129,0.0233,0.0474,0.0553,0.0700,25460
pod3,5.0456,0.1311,0.0011,0.0209,4779.0158,313469,13,0.0020,0.0122,0.0139,0.0258,0.0482,0.0559,0.0701,24113
pod3,5.0452,0.1573,0.0011,0.0206,4852.1352,318240,13,0.0020,0.0126,0.0143,0.0257,0.0472,0.0552,0.0684,24480
pod2,5.0608,0.2168,0.0009,0.0255,3910.8426,257296,13,0.0019,0.0177,0.0248,0.0317,0.0395,0.0580,0.0738,19792
pod2,5.0426,0.1244,0.0010,0.0210,4767.3662,312520,13,0.0019,0.0164,0.0180,0.0277,0.0363,0.0436,0.0604,24040
pod5,5.0665,0.1613,0.0011,0.0195,5119.9405,337220,13,0.0023,0.0084,0.0100,0.0186,0.0585,0.0643,0.0793,25940
pod5,5.0463,0.1760,0.0013,0.0200,4990.4068,327379,13,0.0024,0.0084,0.0106,0.0193,0.0581,0.0648,0.0802,25183
pod5,5.0453,0.1761,0.0011,0.0216,4623.5116,303251,13,0.0026,0.0092,0.0117,0.0233,0.0601,0.0659,0.0828,23327
pod4,5.0477,0.1664,0.0011,0.0207,4817.2293,316108,13,0.0023,0.0101,0.0122,0.0228,0.0537,0.0618,0.0806,24316
pod4,5.0451,0.1437,0.0011,0.0193,5182.6857,339911,13,0.0022,0.0097,0.0115,0.0197,0.0530,0.0585,0.0704,26147
pod4,5.0447,0.1104,0.0010,0.0184,5416.9803,355251,13,0.0021,0.0096,0.0110,0.0190,0.0518,0.0579,0.0690,27327
pod4,5.0432,0.1527,0.0011,0.0205,4886.1852,320346,13,0.0024,0.0106,0.0126,0.0223,0.0520,0.0594,0.0769,24642
pod20,5.1081,0.1768,0.0018,0.0201,4930.0529,327379,13,0.0042,0.0056,0.0080,0.0146,0.0677,0.0717,0.0845,25183
pod20,5.0453,0.1997,0.0019,0.0221,4502.8129,295334,13,0.0047,0.0063,0.0090,0.0181,0.0692,0.0740,0.0923,22718
pod20,5.0434,0.1796,0.0013,0.0209,4762.4471,312247,13,0.0046,0.0061,0.0089,0.0166,0.0668,0.0713,0.0847,24019
